Company Name,Ticker,Street Address,City,State/Province,Postal Code,Country,County,Telephone Number,Fax Number,Executive Name,Executive Position,Company Email Address,URL/Web Address,Company Type,No. of Employees,Primary SIC Code,Secondary SIC Code,Headquarters,Dossier ID,Primary NAICS Code,Secondary NAICS Code,Business Description,Auditor,Legal Counsel,Sales/Revenue,Assets,Liabilities,Market Cap,Earnings Per Share,EPS Growth Rate,Price/Earning Ratio,Return On Equity,Top Companies,Primary SBI Code,Secondary SBI Code,Chamber of Commerce Number
"BANK OF AMERICA, NATIONAL ASSOCIATION","","2 KING EDWARD STREET","LONDON","","EC1A 1HQ","","","44 (20717) 44000","","Almedia,Jose","DIRECTOR","","http://www.bankofamerica.com","PRIVATE - PARENT","171,057","6021 National Commercial Banks","","","0","","","Banks","PricewaterhouseCoopers LLP","","117,852,000,000","3,051,375,000,000","2,778,178,000,000","","","","","",""
"Bank of America, National Association","","8240 N CORTARO RD","TUCSON","ARIZONA","85743 9393","UNITED STATES","","1 (520) 572 7530","","Nafi,Rikan","Office Manager"
"Bank of America, National Association","","4528 George Wash Mem Hwy","Yorktown","VIRGINIA","23692-2506","UNITED STATES","","1 (757) 875 2833","","Meador,Roni","SVP","","","PRIVATE - SUBSIDIARY/BRANCH","14","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","4528 George Wash Mem Hwy","Yorktown","VIRGINIA","23692-2506","UNITED STATES","","1 (757) 875 2833","","Stanislaus,Ross","MANAGER"
"Bank of America, National Association","","4528 George Wash Mem Hwy","Yorktown","VIRGINIA","23692-2506","UNITED STATES","","1 (757) 875 2833","","Zwirschitz,Abby","Credit And Wholesale Banking Summer Analyst - Gcib Healthcare"
"Bank of America, National Association","","4528 George Wash Mem Hwy","Yorktown","VIRGINIA","23692-2506","UNITED STATES","","1 (757) 875 2833","","Przekop,Agata","Trust Senior Associate"
"Bank of America, National Association","","4528 George Wash Mem Hwy","Yorktown","VIRGINIA","23692-2506","UNITED STATES","","1 (757) 875 2833","","Quast,Bill","Change Consultant"
"Bank of America, National Association","","4528 George Wash Mem Hwy","Yorktown","VIRGINIA","23692-2506","UNITED STATES","","1 (757) 875 2833","","Scroggins,Peta","Client Service Specialist"
"Bank of America, National Association",,302 FOLSOM ST,SAN FRANCISCO,CALIFORNIA,94105 2303,UNITED STATES,,,,,,,,PRIVATE - SUBSIDIARY/BRANCH,2,6021 National Commercial Banks,,,0,522110 Commercial Banking,,NATIONAL COMMERCIAL BANK,,,,,,,,,,,,,,
"Bank of America, National Association","","5701 COLLEYVILLE BLVD","COLLEYVILLE","TEXAS","76034-6049","UNITED STATES","","1 (817) 428 2163","","Deay,Christa","Vice President Bcm III","","","PRIVATE - SUBSIDIARY/BRANCH","17","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","5701 COLLEYVILLE BLVD","COLLEYVILLE","TEXAS","76034-6049","UNITED STATES","","1 (817) 428 2163","","Billups,Shelly","Vp - Home Loans Finance"
"Bank of America, National Association","","5701 COLLEYVILLE BLVD","COLLEYVILLE","TEXAS","76034-6049","UNITED STATES","","1 (817) 428 2163","","Harrington,Linda","Project Manager"
"Bank of America, National Association","","5701 COLLEYVILLE BLVD","COLLEYVILLE","TEXAS","76034-6049","UNITED STATES","","1 (817) 428 2163","","Burkes,Vanessa","BRANCH MANAGER"
"Bank of America, National Association","","5500 GEARY BLVD","SAN FRANCISCO","CALIFORNIA","94121 2290","UNITED STATES","","1 (415) 622 4061","","Gong,Matthew","MANAGER","","","PRIVATE - SUBSIDIARY/BRANCH","17","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","5500 GEARY BLVD","SAN FRANCISCO","CALIFORNIA","94121 2290","UNITED STATES","","1 (415) 622 4061","","Wyatt,Ana","Lending Market Leader"
"Bank of America, National Association","","5467 HARPERS FARM RD","COLUMBIA","MARYLAND","21044-1139","UNITED STATES","","1 (410) 730 1214","","Srinivasan,Uma","MANAGER","","","PRIVATE - SUBSIDIARY/BRANCH","14","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","5467 HARPERS FARM RD","COLUMBIA","MARYLAND","21044-1139","UNITED STATES","","1 (410) 730 1214","","Natarajan,Ramanathan","Consultant"
"Bank of America, National Association","","5467 HARPERS FARM RD","COLUMBIA","MARYLAND","21044-1139","UNITED STATES","","1 (410) 730 1214","","Spiva,Carol","Senior Accountant"
"Bank of America, National Association","","5467 HARPERS FARM RD","COLUMBIA","MARYLAND","21044-1139","UNITED STATES","","1 (410) 730 1214","","Joe,Carrie","Special Assets Group"
"Bank of America, National Association","","4741 E RAY RD","PHOENIX","ARIZONA","85044 6230","UNITED STATES","","1 (480) 283 2620","","Stevens,Susan","Vp - Premier Sr. Client Manager","","","PRIVATE - SUBSIDIARY/BRANCH","13","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","4741 E RAY RD","PHOENIX","ARIZONA","85044 6230","UNITED STATES","","1 (480) 283 2620","","Berry,Tony","V.P. Small Business And Specialty Banking Technology"
"Bank of America, National Association","","4741 E RAY RD","PHOENIX","ARIZONA","85044 6230","UNITED STATES","","1 (480) 283 2620","","Chipman,Howard","Svp Sr Sevice Delivery Manager"
"Bank of America, National Association","","4741 E RAY RD","PHOENIX","ARIZONA","85044 6230","UNITED STATES","","1 (480) 283 2620","","Colone,Teresa","Vice President-Is Integration Consultant"
"Bank of America, National Association","","4741 E RAY RD","PHOENIX","ARIZONA","85044 6230","UNITED STATES","","1 (480) 283 2620","","Peterson,Eric","Manager"
"Bank of America, National Association","","4741 E RAY RD","PHOENIX","ARIZONA","85044 6230","UNITED STATES","","1 (480) 283 2620","","Anisa Toloui,Site","SITE MANAGER"
"Bank of America, National Association","","4741 E RAY RD","PHOENIX","ARIZONA","85044 6230","UNITED STATES","","1 (480) 283 2620","","Gala,Sarah","Lead Associate"
"Bank of America, National Association","","4741 E RAY RD","PHOENIX","ARIZONA","85044 6230","UNITED STATES","","1 (480) 283 2620","","Skora,Alan","MIS Systems Analyst"
"Bank of America, National Association","","4741 E RAY RD","PHOENIX","ARIZONA","85044 6230","UNITED STATES","","1 (480) 283 2620","","Feldman,Walter","VP-Risk"
"Bank of America, National Association","","4741 E RAY RD","PHOENIX","ARIZONA","85044 6230","UNITED STATES","","1 (480) 283 2620","","Peterson,Eric","MANAGER"
"Bank of America, National Association",,1 FLATBUSH AVE,BROOKLYN,NEW YORK,11217 1101,UNITED STATES,,,,,,,,PRIVATE - SUBSIDIARY/BRANCH,2,6021 National Commercial Banks,,,0,522110 Commercial Banking,,NATIONAL COMMERCIAL BANK,,,,,,,,,,,,,,
"Bank of America, National Association",,3869 MAURICE AVE,FORT WORTH,TEXAS,76111-6066,UNITED STATES,,,,,,,,PRIVATE - SUBSIDIARY/BRANCH,2,6021 National Commercial Banks,,,0,522110 Commercial Banking,,NATIONAL COMMERCIAL BANK,,,,,,,,,,,,,,
"Bank of America, National Association","","3300 BEE CAVES RD","WEST LAKE HILLS","TEXAS","78746 6663","UNITED STATES","","1 (512) 329 7300","","Wilson,Deborah","Technical Project Manager","","","PRIVATE - SUBSIDIARY/BRANCH","3","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","3300 BEE CAVES RD","WEST LAKE HILLS","TEXAS","78746 6663","UNITED STATES","","1 (512) 329 7300","","Cochs,Lisa","MANAGER"
"Bank of America, National Association","","59 MOUNTAIN BLVD","WARREN","NEW JERSEY","07059 5678","UNITED STATES","","1 (800) 432 1000","","Cantone,Michael","Senior Vice President","","","PRIVATE - SUBSIDIARY/BRANCH","14","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","59 MOUNTAIN BLVD","WARREN","NEW JERSEY","07059 5678","UNITED STATES","","1 (800) 432 1000","","Bobal,Mike","SVP"
"Bank of America, National Association","","59 MOUNTAIN BLVD","WARREN","NEW JERSEY","07059 5678","UNITED STATES","","1 (800) 432 1000","","Haiken,Larry","Svp/ Assistant Market Director"
"Bank of America, National Association","","59 MOUNTAIN BLVD","WARREN","NEW JERSEY","07059 5678","UNITED STATES","","1 (800) 432 1000","","Tang,Min","VP"
"Bank of America, National Association","","59 MOUNTAIN BLVD","WARREN","NEW JERSEY","07059 5678","UNITED STATES","","1 (800) 432 1000","","Margherito,Robert","BRANCH MANAGER"
"Bank of America, National Association","","59 MOUNTAIN BLVD","WARREN","NEW JERSEY","07059 5678","UNITED STATES","","1 (800) 432 1000","","Liang,Lance","Application Architect"
"Bank of America, National Association","","800 N WESTERN AVE","SAN PEDRO","CALIFORNIA","90732 4399","UNITED STATES","","1 (800) 432 1000","","Liebig,Karen","BRANCH MANAGER","","","PRIVATE - SUBSIDIARY/BRANCH","14","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","800 N WESTERN AVE","SAN PEDRO","CALIFORNIA","90732 4399","UNITED STATES","","1 (800) 432 1000","","Ortega,Vanessa","Sales And Service Specialist"
"Bank of America, National Association","","800 N WESTERN AVE","SAN PEDRO","CALIFORNIA","90732 4399","UNITED STATES","","1 (800) 432 1000","","Rodriguez,Eva","COUNSELOR"
"Bank of America, National Association","","205 N PARROTT AVE","OKEECHOBEE","FLORIDA","34972 2916","UNITED STATES","","1 (863) 357 4200","","Wise,Paulette","OWNER","","","PRIVATE - SUBSIDIARY/BRANCH","4","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","205 N PARROTT AVE","OKEECHOBEE","FLORIDA","34972 2916","UNITED STATES","","1 (863) 357 4200","","Desai,Yogita","Senior Personal Banker"
"Bank of America, National Association","","3301 GOLDEN RD","TYLER","TEXAS","75701 8353","UNITED STATES","","1 (903) 510 5000","","St John,Jordan","Manager","","","PRIVATE - SUBSIDIARY/BRANCH","3","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","3301 GOLDEN RD","TYLER","TEXAS","75701 8353","UNITED STATES","","1 (903) 510 5000","","Mortela,Barbara","MANAGER"
"Bank of America, National Association","","3301 GOLDEN RD","TYLER","TEXAS","75701 8353","UNITED STATES","","1 (903) 510 5000","","Matthews,Tracey","MANAGER"
"Bank of America, National Association","","3301 GOLDEN RD","TYLER","TEXAS","75701 8353","UNITED STATES","","1 (903) 510 5000","","Brookshire,Sharon","Sr Personal Banker"
"Bank of America, National Association","","3301 GOLDEN RD","TYLER","TEXAS","75701 8353","UNITED STATES","","1 (903) 510 5000","","Mortela,Barbara","MANAGER"
"Bank of America, National Association","","3301 GOLDEN RD","TYLER","TEXAS","75701 8353","UNITED STATES","","1 (903) 510 5000","","Matthews,Tracey","MANAGER"
"Bank of America, National Association","","11200 E STATE ROAD 64","BRADENTON","FLORIDA","34212 9706","UNITED STATES","","1 (941) 747 4473","","Velardi,Angela","Vp Commercial Relationship Manager","","","PRIVATE - SUBSIDIARY/BRANCH","4","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","11200 E STATE ROAD 64","BRADENTON","FLORIDA","34212 9706","UNITED STATES","","1 (941) 747 4473","","Cutshaw,Robert","Senior Vice President"
"Bank of America, National Association","","11200 E STATE ROAD 64","BRADENTON","FLORIDA","34212 9706","UNITED STATES","","1 (941) 747 4473","","Kashdin,Tina","Vice President Sr Operations Project Manager"
"Bank of America, National Association","","11200 E STATE ROAD 64","BRADENTON","FLORIDA","34212 9706","UNITED STATES","","1 (941) 747 4473","","Kahns,Jamie","Svp Market Executive"
"Bank of America, National Association","","11200 E STATE ROAD 64","BRADENTON","FLORIDA","34212 9706","UNITED STATES","","1 (941) 747 4473","","Dodd,Susan","Financial Center Manager"
"Bank of America, National Association","","11200 E STATE ROAD 64","BRADENTON","FLORIDA","34212 9706","UNITED STATES","","1 (941) 747 4473","","Clark,Angela","Operations Market Manager"
"Bank of America, National Association","","11200 E STATE ROAD 64","BRADENTON","FLORIDA","34212 9706","UNITED STATES","","1 (941) 747 4473","","Boley,Jim","BRANCH MANAGER"
"Bank of America, National Association","","11200 E STATE ROAD 64","BRADENTON","FLORIDA","34212 9706","UNITED STATES","","1 (941) 747 4473","","Nieves,Denisse","Administrative Assistant"
"Bank of America, National Association","","11200 E STATE ROAD 64","BRADENTON","FLORIDA","34212 9706","UNITED STATES","","1 (941) 747 4473","","Stevens,Brandie","Client Service Specialist"
"Bank of America, National Association","","500 FRANK E RODGERS BLVD S","HARRISON","NEW JERSEY","07029 2292","UNITED STATES","","1 (973) 482 2989","","Douglas,Keith","Chief Financial Officer For Ficc","","","PRIVATE - SUBSIDIARY/BRANCH","14","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","500 FRANK E RODGERS BLVD S","HARRISON","NEW JERSEY","07029 2292","UNITED STATES","","1 (973) 482 2989","","Paritala,Priyanka","Vice President"
"Bank of America, National Association","","500 FRANK E RODGERS BLVD S","HARRISON","NEW JERSEY","07029 2292","UNITED STATES","","1 (973) 482 2989","","Houghton,Chuck","Senior Vice President"
"Bank of America, National Association","","500 FRANK E RODGERS BLVD S","HARRISON","NEW JERSEY","07029 2292","UNITED STATES","","1 (973) 482 2989","","Lapeter,Christine","Assistant Vice President - Project Cons-Fin Solution"
"Bank of America, National Association","","500 FRANK E RODGERS BLVD S","HARRISON","NEW JERSEY","07029 2292","UNITED STATES","","1 (973) 482 2989","","Robertson,Paul","Managing Director"
"Bank of America, National Association","","500 FRANK E RODGERS BLVD S","HARRISON","NEW JERSEY","07029 2292","UNITED STATES","","1 (973) 482 2989","","Lops,Maria","BRANCH MANAGER"
"Bank of America, National Association","","500 FRANK E RODGERS BLVD S","HARRISON","NEW JERSEY","07029 2292","UNITED STATES","","1 (973) 482 2989","","Villatoro,Diego","Relationship Manager"
"Bank of America, National Association","","500 FRANK E RODGERS BLVD S","HARRISON","NEW JERSEY","07029 2292","UNITED STATES","","1 (973) 482 2989","","Kumari,Seema","Tableau Developer"
"Bank of America, National Association","","500 FRANK E RODGERS BLVD S","HARRISON","NEW JERSEY","07029 2292","UNITED STATES","","1 (973) 482 2989","","Li,Shen","Senior Java Developer"
"Bank of America, National Association","","500 FRANK E RODGERS BLVD S","HARRISON","NEW JERSEY","07029 2292","UNITED STATES","","1 (973) 482 2989","","Dinh,Randy","QA Specialist"
"Bank of America, National Association","","205 W MEEKER","PUYALLUP","WASHINGTON","98371 5351","UNITED STATES","","1 (253) 305 3170","","E.,Julie","Vice President Client Manager","","","PRIVATE - SUBSIDIARY/BRANCH","23","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","205 W MEEKER","PUYALLUP","WASHINGTON","98371 5351","UNITED STATES","","1 (253) 305 3170","","Grauman,Lorrie","Business Banking Sales Support Manager"
"Bank of America, National Association","","205 W MEEKER","PUYALLUP","WASHINGTON","98371 5351","UNITED STATES","","1 (253) 305 3170","","Delong,Joan","Bank Manager"
"Bank of America, National Association","","205 W MEEKER","PUYALLUP","WASHINGTON","98371 5351","UNITED STATES","","1 (253) 305 3170","","Tollefsen,Jamie","Personal Banker"
"Bank of America, National Association","","205 W MEEKER","PUYALLUP","WASHINGTON","98371 5351","UNITED STATES","","1 (253) 305 3170","","Nelson,Cassie","Personal Banker"
"Bank of America, National Association","","205 W MEEKER","PUYALLUP","WASHINGTON","98371 5351","UNITED STATES","","1 (253) 305 3170","","Reborn,Chaes","Customer Service Representative"
"Bank of America, National Association","","205 W MEEKER","PUYALLUP","WASHINGTON","98371 5351","UNITED STATES","","1 (253) 305 3170","","Mariscal,Julissa","Banker At Bank Of America"
"Bank of America, National Association","","205 W MEEKER","PUYALLUP","WASHINGTON","98371 5351","UNITED STATES","","1 (253) 305 3170","","Csuha,Joelle","Customer Service Representative"
"Bank of America, National Association","","205 W MEEKER","PUYALLUP","WASHINGTON","98371 5351","UNITED STATES","","1 (253) 305 3170","","Gail Reynolds,E.","PRINCIPAL"
"Bank of America, National Association","","9280 Old Keene Mill Rd","Burke","VIRGINIA","22015-4201","UNITED STATES","","1 (703) 913 4230","","Matassa,Melinda","MANAGER","","","PRIVATE - SUBSIDIARY/BRANCH","14","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","9280 Old Keene Mill Rd","Burke","VIRGINIA","22015-4201","UNITED STATES","","1 (703) 913 4230","","Sherko,Mesay","Devops Engineer"
"Bank of America, National Association","","9280 Old Keene Mill Rd","Burke","VIRGINIA","22015-4201","UNITED STATES","","1 (703) 913 4230","","Fogle,Johanna","Bank Teller"
"Bank of America, National Association","","1234 SAINT MICHAELS DR","SANTA FE","NEW MEXICO","87505 7611","UNITED STATES","","","","Ortiz,Ernesto","Assistant Vice President And Financial Center Manager","","","PRIVATE - SUBSIDIARY/BRANCH","14","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
"Bank of America, National Association","","1234 SAINT MICHAELS DR","SANTA FE","NEW MEXICO","87505 7611","UNITED STATES","","","","Valbez,Betty","MANAGER"
"Bank of America, National Association","","1234 SAINT MICHAELS DR","SANTA FE","NEW MEXICO","87505 7611","UNITED STATES","","","","Syal,Puneet","Financial Center Manager"
"Bank of America, National Association","","1234 SAINT MICHAELS DR","SANTA FE","NEW MEXICO","87505 7611","UNITED STATES","","","","Lubawy,Dorene","Financial Center Lending Officer"
"Bank of America, National Association","","1234 SAINT MICHAELS DR","SANTA FE","NEW MEXICO","87505 7611","UNITED STATES","","","","Martinez,Nicole","SERVICE ASSOCIATE"
"Bank of America, National Association","","20563 STEVENS CREEK BLVD","CUPERTINO","CALIFORNIA","95014 2106","UNITED STATES","","1 (408) 725 4228","","Shen,John","Vp Client Manager","","","PRIVATE - SUBSIDIARY/BRANCH","26","6021 National Commercial Banks","","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","","","","","","","","",""
